Place,Business2015,Employment2015
"Z01915 (Beverly, MA)",1239,21315
"Z01921 (Boxford, MA)",148,1290
"Z01922 (Byfield, MA)",59,708
"Z01923 (Danvers, MA)",1092,29701
"Z01929 (Essex, MA)",149,1050
"Z01930 (Gloucester, MA)",889,9786
"Z01931 (Gloucester, MA)",14,32
"Z01936 (Hamilton, MA)",16,147
"Z01937 (Hathorne, MA)",5,53
"Z01938 (Ipswich, MA)",367,4647
"Z01940 (Lynnfield, MA)",400,4627
"Z01944 (Manchester, MA)",177,1279
"Z01945 (Marblehead, MA)",559,3826
"Z01949 (Middleton, MA)",306,3513
"Z01950 (Newburyport, MA)",778,10078
"Z01951 (Newbury, MA)",84,434
"Z01952 (Salisbury, MA)",274,2435
"Z01960 (Peabody, MA)",1443,23642
"Z01961 (Peabody, MA)",34,444
"Z01965 (Prides Crossing, MA)",12,e
"Z01966 (Rockport, MA)",190,683
"Z01969 (Rowley, MA)",215,2546
"Z01970 (Salem, MA)",1137,16875
"Z01971 (Salem, MA)",3,5
"Z01982 (South Hamilton, MA)",141,845
"Z01983 (Topsfield, MA)",252,2048
"Z01984 (Wenham, MA)",77,1829
"Z01985 (West Newbury, MA)",70,520
"Z02018 (Accord, MA)",5,76
"Z02019 (Bellingham, MA)",390,6284
"Z02020 (Brant Rock, MA)",13,199
"Z02021 (Canton, MA)",938,22933
"Z02025 (Cohasset, MA)",273,2245
"Z02026 (Dedham, MA)",895,14355
"Z02027 (Dedham, MA)",16,269
"Z02030 (Dover, MA)",120,411
"Z02032 (East Walpole, MA)",129,2558
"Z02035 (Foxboro, MA)",606,12605
"Z02038 (Franklin, MA)",818,15474
"Z02040 (Greenbush, MA)",4,20
"Z02041 (Green Harbor, MA)",5,c
"Z02043 (Hingham, MA)",850,14939
"Z02044 (Hingham, MA)",1,a
"Z02045 (Hull, MA)",162,988
"Z02047 (Humarock, MA)",6,19
"Z02048 (Mansfield, MA)",585,11470
"Z02050 (Marshfield, MA)",507,4639
"Z02051 (Marshfield Hills, MA)",9,46
"Z02052 (Medfield, MA)",299,2326
"Z02053 (Medway, MA)",301,2998
"Z02054 (Millis, MA)",191,1323
"Z02056 (Norfolk, MA)",231,1868
"Z02059 (North Marshfield, MA)",6,13
"Z02060 (North Scituate, MA)",10,145
"Z02061 (Norwell, MA)",580,10980
"Z02062 (Norwood, MA)",1241,24086
"Z02065 (Ocean Bluff, MA)",3,8
"Z02066 (Scituate, MA)",373,2392
"Z02067 (Sharon, MA)",376,2641
"Z02070 (Sheldonville, MA)",4,24
"Z02071 (South Walpole, MA)",19,79
"Z02072 (Stoughton, MA)",890,31644
"Z02081 (Walpole, MA)",610,6990
"Z02090 (Westwood, MA)",495,12541
"Z02093 (Wrentham, MA)",418,5774
"Z02108 (Boston, MA)",1165,24243
"Z02109 (Boston, MA)",1353,36721
"Z02110 (Boston, MA)",1849,57121
"Z02111 (Boston, MA)",982,29560
"Z02112 (Boston, MA)",8,93
"Z02113 (Boston, MA)",180,2051
"Z02114 (Boston, MA)",685,39693
"Z02115 (Boston, MA)",588,60188
"Z02116 (Boston, MA)",2039,57966
"Z02117 (Boston, MA)",13,g
"Z02118 (Boston, MA)",826,18199
"Z02119 (Roxbury, MA)",448,6956
"Z02120 (Roxbury Crossing, MA)",173,3825
